"Super Category","Parent Category","Category Name","Category Code"
"Household Care","CHARCOAL LIGHTER","Charcoal Lighter","183601"
"Household Care","*** HOUSEHOLD SUPPLIES ***","INSECTICIDES","183700"
"Household Care","INSECTICIDES","Residual Aerosols Insecticides","183701"
"Household Care","INSECTICIDES","Residual Liquids Insecticides","183702"
"Household Care","INSECTICIDES","Flying Insect Aerosol","183703"
"Household Care","INSECTICIDES","Flying Insect Liquid","183704"
"Household Care","INSECTICIDES","House/Lawn & Garden Aerosol Insecticides","183705"
"Household Care","INSECTICIDES","Indoor Foggers Insecticides","183706"
"Household Care","INSECTICIDES","Continuous Action Insecticides","183707"
"Household Care","INSECTICIDES","Crawling Insect-Other Insecticides","183708"
"Household Care","INSECTICIDES","House/Lawn and Garden Liquids Insecticides","183709"
"Household Care","INSECTICIDES","Ant Roach Traps","183710"
"Household Care","INSECTICIDES","Ant Roach Powders- Tablets","183711"
"Household Care","INSECTICIDES","Flea & Tick Insecticide","183712"
"Household Care","INSECTICIDES","Outdoor Fogger Insecticides","183713"
"Household Care","INSECTICIDES","Gypsy Moth-Caterpiller & Beetle Spray Insecticides","183714"
"Household Care","INSECTICIDES","Fire Ant Killers Insecticides","183715"
"Household Care","INSECTICIDES","Ant & Roach Spray","183716"
"Household Care","INSECTICIDES","Rose Bush Insecticides","183717"
"Household Care","INSECTICIDES","St. Augustine Grass Insecticide","183718"
"Household Care","INSECTICIDES","Line of Insecticides","183719"
"Household Care","INSECTICIDES","Fabric Moth Insecticide","183720"
"Household Care","INSECTICIDES","Food Moth Insecticide","183721"
"Household Care","INSECTICIDES","All Other Insecticides","183799"
"Household Care","*** HOUSEHOLD SUPPLIES ***","FIREPLACE LOGS & BRICKS","183800"
"Household Care","FIREPLACE LOGS & BRICKS","Waxed Wood","183801"
"Household Care","FIREPLACE LOGS & BRICKS","Pressed Sawdust Logs","183802"
"Household Care","FIREPLACE LOGS & BRICKS","Fireplace Bricks","183803"
"Household Care","FIREPLACE LOGS & BRICKS","Firewood","183804"
"Household Care","*** HOUSEHOLD SUPPLIES ***","MOTOR OIL & ADDITIVES","183900"
"Household Care","MOTOR OIL & ADDITIVES","Motor Oils","183901"
"Household Care","MOTOR OIL & ADDITIVES","Treatment Motor Oils & Additives","183902"
"Household Care","MOTOR OIL & ADDITIVES","Fuel Cleaner","183903"
"Household Care","MOTOR OIL & ADDITIVES","All Other motor oil & additives","183999"
"Household Care","*** HOUSEHOLD SUPPLIES ***","DECK & PATIO SUPPLIES","184000"
"Household Care","DECK & PATIO SUPPLIES","Deck/Patio Stains","184001"
"Household Care","DECK & PATIO SUPPLIES","Deck/Patio Seals","184002"
"Household Care","DECK & PATIO SUPPLIES","Deck/Patio Washers","184003"
"Household Care","DECK & PATIO SUPPLIES","All Other Deck/Patio Supplies","184099"
"Household Care","*** HOUSEHOLD SUPPLIES ***","LAWN & GARDEN FERTILIZERS & HERBICIDES","184100"
"Household Care","LAWN & GARDEN FERTILIZERS & HERBICIDES","Lawn Fertilizer","184101"
"Household Care","LAWN & GARDEN FERTILIZERS & HERBICIDES","Outdoor Plants/Flowers Fertilizers","184102"
"Household Care","LAWN & GARDEN FERTILIZERS & HERBICIDES","Rose Bush Fertilizers","184103"
"Household Care","LAWN & GARDEN FERTILIZERS & HERBICIDES","St. Augustine Grass Fertilizers","184104"
"Household Care","LAWN & GARDEN FERTILIZERS & HERBICIDES","Lawn Weed Killer","184105"
"Household Care","LAWN & GARDEN FERTILIZERS & HERBICIDES","Spot Weed Killer","184106"
"Household Care","LAWN & GARDEN FERTILIZERS & HERBICIDES","All Other Lawn & Garden Fertilizers & Herbicides","184199"
"Household Care","*** HOUSEHOLD SUPPLIES ***","MULTI-PURPOSE STAIN REMOVERS","185100"
"Household Care","MULTI-PURPOSE STAIN REMOVERS","Multi-Purpose Powder Stain Remover","185101"
"Household Care","MULTI-PURPOSE STAIN REMOVERS","Multi-Purpose Liquid Stain Remover","185102"
"Household Care","MULTI-PURPOSE STAIN REMOVERS","All Other Multi-Purpose Stain Remover","185103"
"Household Care","MULTI-PURPOSE STAIN REMOVERS","All Other multi-purpose stain removers","185199"
"Household Care","*** HOUSEHOLD SUPPLIES ***","FURNACE FILTERS","186100"
"Household Care","FURNACE FILTERS","Furnace Filters","186101"
"Household Care","*** HOUSEHOLD SUPPLIES ***","DRY CELL BATTERIES","189800"
"Household Care","DRY CELL BATTERIES","Alkaline Batteries","189801"
"Household Care","DRY CELL BATTERIES","Heavy Duty Batteries","189802"
"Household Care","DRY CELL BATTERIES","Transistor Batteries","189803"
"Household Care","DRY CELL BATTERIES","General Purpose Batteries","189804"
"Household Care","DRY CELL BATTERIES","Watch Batteries","189805"
"Household Care","DRY CELL BATTERIES","Miscellaneous Dry Cell Batteries","189806"
"Household Care","DRY CELL BATTERIES","All Other Batteries","189899"
"Household Care","*** HOUSEHOLD SUPPLIES ***","MISCELLANEOUS HOUSEHOLD SUPPLIES","189900"
"Household Care","MISCELLANEOUS HOUSEHOLD SUPPLIES","Dyes & Tints","189901"
"Household Care","MISCELLANEOUS HOUSEHOLD SUPPLIES","Household Supplies Other","189902"
"Household Care","MISCELLANEOUS HOUSEHOLD SUPPLIES","Glass Treatment","189903"
"Household Care","MISCELLANEOUS HOUSEHOLD SUPPLIES","Wood Stain/Finish","189904"
"Household Care","MISCELLANEOUS HOUSEHOLD SUPPLIES","Wood Craft Kit","189905"
"Household Care","MISCELLANEOUS HOUSEHOLD SUPPLIES","Candles","189906"
"Household Care","MISCELLANEOUS HOUSEHOLD SUPPLIES","Water Filtration Products","189907"
"Household Care","MISCELLANEOUS HOUSEHOLD SUPPLIES","Air Purifying Systems","189908"
"Household Care","MISCELLANEOUS HOUSEHOLD SUPPLIES","All Other miscellaneous household supplies","189999"
"Household Care","Delicate/Special Fabric Laundry Detergents","Laundry Bar","221202"
"Household Care","Delicate/Special Fabric Laundry Detergents","Wools/Delicate Liquid Detergent","221203"
"Household Care","Delicate/Special Fabric Laundry Detergents","Wools/Delicate All Other Detergent","221204"
"Household Care","Delicate/Special Fabric Laundry Detergents","All Other Delicate/Special Fabric Laundry Detergents","221299"
"Household Care","*** LAUNDRY/FABRIC CARE ***","Washing Machine Cleaners","221300"
"Household Care","Washing Machine Cleaners","Liquid / Gel Washing Machine Cleaners","221301"
"Household Care","Washing Machine Cleaners","Powder Washing Machine Cleaners","221302"
"Household Care","Washing Machine Cleaners","Tablets Washing Machine Cleaners","221303"
"Household Care","Washing Machine Cleaners","Other Washing Machine Cleaners","221304"
"Household Care","Washing Machine Cleaners","Line of Washing Machine Cleaners","221309"
"Household Care","*** LAUNDRY/FABRIC CARE ***","MISCELLANEOUS LAUNDRY SUPPLIES","229900"
"Household Care","MISCELLANEOUS LAUNDRY SUPPLIES","Line of Laundry Supplies","229901"
"Household Care","MISCELLANEOUS LAUNDRY SUPPLIES","Miscellaneous Laundry Supplies","229999"
"Household Care","Household Care","*** LAUNDRY/FABRIC CARE ***","220000"
"Household Care","*** LAUNDRY/FABRIC CARE ***","BLEACH - CHLORINE","220100"
"Household Care","BLEACH - CHLORINE","Bleach - Liquid","220101"
"Household Care","BLEACH - CHLORINE","Bleach-Dry","220102"
"Household Care","Household Care","***HOUSEHOLD PAPER PRODUCTS ***","260000"
"Household Care","***HOUSEHOLD PAPER PRODUCTS ***","COFFEE FILTERS","260600"
"Household Care","COFFEE FILTERS","Fluted Coffee Filter","260601"
"Household Care","COFFEE FILTERS","Non-Fluted Coffee Filter","260602"
"Household Care","COFFEE FILTERS","All Other coffee filters","260699"
"Household Care","***HOUSEHOLD PAPER PRODUCTS ***","WAXED PAPER","260700"
"Household Care","WAXED PAPER","Waxed Paper Bags","260701"
"Household Care","WAXED PAPER","Waxed Paper Rolls","260702"
"Household Care","***HOUSEHOLD PAPER PRODUCTS ***","PLASTIC FLATWARE","260800"
"Household Care","PLASTIC FLATWARE","Heavy/Medium - Plastic Flatware","260801"
"Household Care","PLASTIC FLATWARE","Light - Plastic Flatware","260802"
"Household Care","***HOUSEHOLD PAPER PRODUCTS ***","PAPER & PLASTIC CUPS","260900"
"Household Care","PAPER & PLASTIC CUPS","Dispensers - Paper & Plastic Cups","260901"
"Household Care","PAPER & PLASTIC CUPS","Dispensers Refills - Paper & Plastic Cups","260902"
"Household Care","PAPER & PLASTIC CUPS","Glass Plastic - Paper & Plastic Cups","260903"
"Household Care","PAPER & PLASTIC CUPS","Foam - Paper & Plastic Cups","260904"
"Household Care","PAPER & PLASTIC CUPS","Hot - Paper & Plastic Cups","260905"
"Household Care","PAPER & PLASTIC CUPS","Cold - Paper & Plastic Cups","260906"
"Household Care","PAPER & PLASTIC CUPS","Disposable Dispensers - Paper & Plastic Cups","260907"
"Household Care","PAPER & PLASTIC CUPS","Holiday Design - Paper & Plastic Cups","260908"
"Household Care","PAPER & PLASTIC CUPS","All Other Paper & Plastic CUPS","260999"
"Household Care","***HOUSEHOLD PAPER PRODUCTS ***","PAPER & PLASTIC PLATES","261000"
"Household Care","PAPER & PLASTIC PLATES","Paper Plates Pressed:Light Weight (white- colored)","261001"
"Household Care","PAPER & PLASTIC PLATES","Paper Plates Pressed:Medium Weight (deco- printed)","261002"
"Household Care","PAPER & PLASTIC PLATES","Foam Plates","261003"
"Household Care","PAPER & PLASTIC PLATES","Plastic Plates","261004"
"Household Care","PAPER & PLASTIC PLATES","Paper Plates Pulp:Heavy Weight (Chinet-Dyna","261005"
"Household Care","PAPER & PLASTIC PLATES","All Other Pressed Paper (med weight bowls-trays-pltr)","261006"
"Household Care","PAPER & PLASTIC PLATES","All Other Foam (bowls-trays-platters)","261007"
"Household Care","PAPER & PLASTIC PLATES","All Other Plastic (bowls-trays-platters)","261008"
"Household Care","PAPER & PLASTIC PLATES","All Other Pulp Paper (heavy wgt bowls-trays-platters)","261009"
"Household Care","PAPER & PLASTIC PLATES","All Other paper & plastic plates","261099"
"Household Care","***HOUSEHOLD PAPER PRODUCTS ***","ALUMINUM FOIL","261700"
"Household Care","ALUMINUM FOIL","25 sq. ft. (12 x 25') Aluminum Foil","261701"
"Household Care","ALUMINUM FOIL","50 sq. ft. (12 x 50') Aluminum Foil","261702"
"Household Care","ALUMINUM FOIL","75 sq. ft. (12 x 75') Aluminum Foil","261703"
"Household Care","ALUMINUM FOIL","200 sq. ft. (12 x 200') Aluminum Foil","261704"
"Household Care","ALUMINUM FOIL","23.3 sq. ft. Heavy Duty (14 x 20') Aluminum Foil","261705"
"Household Care","ALUMINUM FOIL","25 sq. ft. Heavy Duty (14 x 25') Aluminum Foil","261706"
"Household Care","ALUMINUM FOIL","37.5 sq. ft. Heavy Duty (18 x 25') Aluminum Foil","261707"
"Household Care","ALUMINUM FOIL","75 sq. ft. Heavy Duty (18 x 50') Aluminum Foil","261708"
"Household Care","ALUMINUM FOIL","100 sq. ft. Heavy Duty (18 x 67') Aluminum Foil","261709"
"Household Care","ALUMINUM FOIL","37.5 sq. ft. Extra Heavy Duty (18 x 25') Alum Foil","261710"
"Household Care","ALUMINUM FOIL","All Other Aluminum Foil","261799"
"Household Care","***HOUSEHOLD PAPER PRODUCTS ***","COOKING/BAKING CONTAINERS","261800"
"Household Care","COOKING/BAKING CONTAINERS","Cake Pans","261801"
"Household Care","COOKING/BAKING CONTAINERS","Cupcake/Muffin Pans","261802"
"Household Care","COOKING/BAKING CONTAINERS","Lasagne Pans","261803"
"Household Care","COOKING/BAKING CONTAINERS","Pizza Pans","261804"
"Household Care","COOKING/BAKING CONTAINERS","Casserole/Meat Loaf Pans","261805"
"Household Care","COOKING/BAKING CONTAINERS","Loaf Pans","261806"
"Household Care","COOKING/BAKING CONTAINERS","Cookie Sheets","261807"
"Household Care","COOKING/BAKING CONTAINERS","Seasoned Baking Pans","261808"
"Household Care","COOKING/BAKING CONTAINERS","Cooking/Baking Containers","261818"
"Household Care","COOKING/BAKING CONTAINERS","All Other Cooking/Baking Containers","261899"
"Household Care","***HOUSEHOLD PAPER PRODUCTS ***","PLASTIC REFUSE BAGS","261900"
"Household Care","PLASTIC REFUSE BAGS","Plastic Garbage Bags","261903"
"Household Care","PLASTIC REFUSE BAGS","Plastic Waste Basket Bags","261904"
"Household Care","PLASTIC REFUSE BAGS","Plastic Trash Can Liners","261905"
"Household Care","PLASTIC REFUSE BAGS","Plastic Lawn & Leaf Bags","261906"
"Household Care","PLASTIC REFUSE BAGS","Plastic Small Waste Bags","261907"
"Household Care","PLASTIC REFUSE BAGS","Plastic Tall Kitchen Bags","261908"
"Household Care","PLASTIC REFUSE BAGS","Compactor Bags","261911"
"Household Care","PLASTIC REFUSE BAGS","Misc. Plastic Household Bags","261999"
"Household Care","***HOUSEHOLD PAPER PRODUCTS ***","PAPER HOUSEHOLD BAGS","262000"
"Household Care","PAPER HOUSEHOLD BAGS","Paper Sandwich/Lunch Bags","262001"
"Household Care","PAPER HOUSEHOLD BAGS","Paper Garbage Bags","262003"
"Household Care","PAPER HOUSEHOLD BAGS","Misc. Paper Household Bags","262099"
"Household Care","***HOUSEHOLD PAPER PRODUCTS ***","HEATABLE PLASTIC BAGS & WRAPS","262100"
"Household Care","HEATABLE PLASTIC BAGS & WRAPS","Heatable Plastic Bags & Wraps","262101"
"Household Care","HEATABLE PLASTIC BAGS & WRAPS","All Other heatable plastic bags & wraps","262199"
"Household Care","***HOUSEHOLD PAPER PRODUCTS ***","PLASTIC FOOD STORAGE BAGS/CONTAINERS","262200"
"Household Care","PLASTIC FOOD STORAGE BAGS/CONTAINERS","Plastic Sandwich Bags","262201"
"Household Care","PLASTIC FOOD STORAGE BAGS/CONTAINERS","Plastic Storage Bags","262202"
"Household Care","PLASTIC FOOD STORAGE BAGS/CONTAINERS","Plastic Freezer Bags","262203"
"Household Care","PLASTIC FOOD STORAGE BAGS/CONTAINERS","Line of Plastic Storage Bags","262204"
"Household Care","PLASTIC FOOD STORAGE BAGS/CONTAINERS","Plastic Food Containers","262205"
"Household Care","PLASTIC FOOD STORAGE BAGS/CONTAINERS","Misc. Food Storage Bags/Containers","262299"
"Household Care","***HOUSEHOLD PAPER PRODUCTS ***","NON FOOD STORAGE BAGS/CONTAINERS","262300"
"Household Care","NON FOOD STORAGE BAGS/CONTAINERS","Non Food Storage Bags","262301"
"Household Care","NON FOOD STORAGE BAGS/CONTAINERS","Non Food Storage Containers","262302"
"Household Care","***HOUSEHOLD PAPER PRODUCTS ***","PLACE MATS","262400"
"Household Care","PLACE MATS","Place Mats","262401"
"Household Care","***HOUSEHOLD PAPER PRODUCTS ***","POLY WRAP","262600"
"Household Care","POLY WRAP","Polywrap","262601"
"Household Care","POLY WRAP","Freezer Paper and Wrap","262602"
"Household Care","***HOUSEHOLD PAPER PRODUCTS ***","PAPER TOWELS","262800"
"Household Care","PAPER TOWELS","Regular Paper Towels","262801"
"Household Care","PAPER TOWELS","Jumbo Paper Towels","262802"
"Household Care","PAPER TOWELS","Reusable Paper Towels","262803"
"Household Care","PAPER TOWELS","Unknown Paper Towels","262804"
"Household Care","PAPER TOWELS","All Other paper towels","262899"
"Household Care","***HOUSEHOLD PAPER PRODUCTS ***","PAPER NAPKINS","262900"
"Household Care","PAPER NAPKINS","Standard 1 Ply - Paper Napkins","262901"
"Household Care","PAPER NAPKINS","Standard 2+ Ply - Paper Napkins","262902"
"Household Care","PAPER NAPKINS","Lunch 1 Ply - Paper Napkins","262903"
"Household Care","PAPER NAPKINS","Lunch 2+ Ply - Paper Napkins","262904"
"Household Care","PAPER NAPKINS","Dinner 1 Ply - Paper Napkins","262905"
"Household Care","PAPER NAPKINS","Dinner 2+ Ply - Paper Napkins","262906"
"Household Care","PAPER NAPKINS","Specialty - Paper Napkins","262907"
"Household Care","***HOUSEHOLD PAPER PRODUCTS ***","MISCELLANEOUS PAPER PRODUCTS","269900"
"Household Care","MISCELLANEOUS PAPER PRODUCTS","Baking Cups","269901"
"Household Care","MISCELLANEOUS PAPER PRODUCTS","Shelf Paper","269902"
"Household Care","MISCELLANEOUS PAPER PRODUCTS","Doilies- Table Cloths","269903"
"Household Care","MISCELLANEOUS PAPER PRODUCTS","Diaper Liners","269905"
"Household Care","MISCELLANEOUS PAPER PRODUCTS","Disposable Bibs","269906"
"Household Care","MISCELLANEOUS PAPER PRODUCTS","Bed Liners","269908"
"Household Care","MISCELLANEOUS PAPER PRODUCTS","Potty Chair Liners","269909"
"Household Care","MISCELLANEOUS PAPER PRODUCTS","Disposable Cloths/Towels","269910"
"Household Care","MISCELLANEOUS PAPER PRODUCTS","All Other Miscellaneous Paper Products","269999"
"Household Care","BLEACH - CHLORINE","Bleach-Other","220103"
"Household Care","*** LAUNDRY/FABRIC CARE ***","ALL FABRIC BLEACH/DETERGENT BOOSTER","220200"
"Household Care","ALL FABRIC BLEACH/DETERGENT BOOSTER","Dry All Fabric Bleach","220201"
"Household Care","ALL FABRIC BLEACH/DETERGENT BOOSTER","Liquid All Fabric Bleach","220202"
"Household Care","ALL FABRIC BLEACH/DETERGENT BOOSTER","Bleach Sheets","220203"
"Household Care","ALL FABRIC BLEACH/DETERGENT BOOSTER","Line of Fabric Bleach/Detergent Booster","220204"
"Household Care","ALL FABRIC BLEACH/DETERGENT BOOSTER","All Other All Fabric Bleach","220205"
"Household Care","*** LAUNDRY/FABRIC CARE ***","FABRIC SOFTENERS","220300"
"Household Care","FABRIC SOFTENERS","Wash Cycle Fabric Softeners","220301"
"Household Care","FABRIC SOFTENERS","Rinse Cycle Concentrate Fabric Softeners","220302"
"Household Care","FABRIC SOFTENERS","Rinse Cycle Single Strength Fabric Softeners","220303"
"Household Care","FABRIC SOFTENERS","Rinse Cycle Super Concentrate Fabric Softeners","220304"
"Household Care","FABRIC SOFTENERS","Specialty Dryer Products Fabric Softeners","220305"
"Household Care","FABRIC SOFTENERS","Fabric Softener for the Washer","220306"
"Household Care","FABRIC SOFTENERS","Line of Fabric Softeners","220307"
"Household Care","FABRIC SOFTENERS","All Other Fabric Softeners","220399"
"Household Care","*** LAUNDRY/FABRIC CARE ***","STARCHES","220400"
"Household Care","STARCHES","Starch - Regular Spray","220401"
"Household Care","STARCHES","Starch - Lite Spray","220402"
"Household Care","STARCHES","Starch - Liquid","220403"
"Household Care","STARCHES","Starch Dry","220404"
"Household Care","STARCHES","Fabric Finishes","220405"
"Household Care","STARCHES","Starch - Heavy Spray","220406"
"Household Care","*** LAUNDRY/FABRIC CARE ***","WATER CONDITIONERS","220500"
"Household Care","WATER CONDITIONERS","Dry Water Conditioners","220501"
"Household Care","WATER CONDITIONERS","Liquid Water Conditioners","220502"
"Household Care","WATER CONDITIONERS","Line of Water Conditioners","220503"
"Household Care","*** LAUNDRY/FABRIC CARE ***","BLUING","220600"
"Household Care","BLUING","Bluing","220601"
"Household Care","*** LAUNDRY/FABRIC CARE ***","LAUNDRY SOIL & STAIN REMOVERS","220700"
"Household Care","LAUNDRY SOIL & STAIN REMOVERS","Pre-Treat Aerosol Laundry Soil & Stain Removers","220701"
"Household Care","LAUNDRY SOIL & STAIN REMOVERS","Pre-Treat Trigger Spray Laundry Soil & Stain Removers","220702"
"Household Care","LAUNDRY SOIL & STAIN REMOVERS","Pre-Treat Stick Laundry Soil & Stain Removers","220703"
"Household Care","LAUNDRY SOIL & STAIN REMOVERS","Pre-Treat All Other Laundry Soil & Stain Removers","220704"
"Household Care","LAUNDRY SOIL & STAIN REMOVERS","In-Wash Liquid Laundry Soil & Stain Removers","220705"
"Household Care","LAUNDRY SOIL & STAIN REMOVERS","In-Wash Powder Laundry Soil & Stain Removers","220706"
"Household Care","LAUNDRY SOIL & STAIN REMOVERS","In-Wash All Other Laundry Soil & Stain Removers","220707"
"Household Care","LAUNDRY SOIL & STAIN REMOVERS","Multi Use (PT & IW) Liquid Laundry Soil & Stain Remover","220708"
"Household Care","LAUNDRY SOIL & STAIN REMOVERS","Multi Use (PT & IW) Powder Laundry Soil & Stain Remover","220709"
"Household Care","LAUNDRY SOIL & STAIN REMOVERS","Multi Use (PT & IW) All Other Laundry Soil & Stain Remover","220710"
"Household Care","LAUNDRY SOIL & STAIN REMOVERS","Line of Pre-Treat Soil & Stain Removers","220711"
"Household Care","LAUNDRY SOIL & STAIN REMOVERS","Line of In-Wash Soil & Stain Removers","220712"
"Household Care","LAUNDRY SOIL & STAIN REMOVERS","Line of Multi-Use (PT & IW) Soil & Stain Removers","220713"
"Household Care","LAUNDRY SOIL & STAIN REMOVERS","All Other Stain Remover for the Laundry","220799"
"Household Care","*** LAUNDRY/FABRIC CARE ***","LAUNDRY ADDITIVES","220800"
"Household Care","LAUNDRY ADDITIVES","Liquid - Wash Laundry Additive","220801"
"Household Care","LAUNDRY ADDITIVES","Sheet - Wash Laundry Additive","220802"
"Household Care","LAUNDRY ADDITIVES","Sheet - Dryer Laundry Additive","220803"
"Household Care","LAUNDRY ADDITIVES","All Other Wash/Dryer Laundry Additive","220899"
"Household Care","*** LAUNDRY/FABRIC CARE ***","FABRIC REFRESHER","220900"
"Household Care","FABRIC REFRESHER","Fabric Refresher - Spray","220901"
"Household Care","FABRIC REFRESHER","Fabric Refresher - All Other","220999"
"Household Care","*** LAUNDRY/FABRIC CARE ***","Laundry Detergents","221100"
"Household Care","Laundry Detergents","Powder Laundry Detergent","221101"
"Household Care","Laundry Detergents","Tablet/Pocket Laundry Detergent","221102"
"Household Care","Laundry Detergents","Liquid Laundry Detergent","221103"
"Household Care","Laundry Detergents","Liquid w/Fabric Softener Laundry Detergent","221104"
"Household Care","Laundry Detergents","Laundry Detergent Sheet","221105"
"Household Care","Laundry Detergents","Concentrated Laundry Detergent","221106"
"Household Care","Laundry Detergents","Line of Laundry Detergents","221107"
"Household Care","Laundry Detergents","Baby Detergent","221108"
"Household Care","Laundry Detergents","All Other Laundry Detergents","221199"
"Household Care","*** LAUNDRY/FABRIC CARE ***","Delicate/Special Fabric Laundry Detergents","221200"
"Household Care","Delicate/Special Fabric Laundry Detergents","Flakes-Granules-Powder (LUX-IVORY-FELS)","221201"
"Household Care","Household Care","*** HOUSEHOLD CLEANING COMPOUNDS & SPONGES ***","170000"
"Household Care","*** HOUSEHOLD CLEANING COMPOUNDS & SPONGES ***","SCOURING CLEANSERS","170100"
"Household Care","SCOURING CLEANSERS","Powdered - Scouring Cleansers","170101"
"Household Care","SCOURING CLEANSERS","Liquid/Cream - Scouring Cleansers","170102"
"Household Care","SCOURING CLEANSERS","Sheets - Scouring Cleansers","170103"
"Household Care","SCOURING CLEANSERS","All Other scouring cleansers","170199"
"Household Care","*** HOUSEHOLD CLEANING COMPOUNDS & SPONGES ***","SCOURING PADS","170200"
"Household Care","SCOURING PADS","Soap Filled Scouring Pads","170201"
"Household Care","SCOURING PADS","Scouring Pads without Soap","170202"
"Household Care","SCOURING PADS","Scouring Sponges","170203"
"Household Care","SCOURING PADS","Scouring Cloths","170204"
"Household Care","SCOURING PADS","All Other scouring pads","170299"
"Household Care","*** HOUSEHOLD CLEANING COMPOUNDS & SPONGES ***","ALL PURPOSE CLEANERS","170300"
"Household Care","ALL PURPOSE CLEANERS","Liquid All Purpose Cleaners","170301"
"Household Care","ALL PURPOSE CLEANERS","Liquid Pine Oil All Purpose Cleaners","170302"
"Household Care","ALL PURPOSE CLEANERS","Dry All Purpose Cleaners","170303"
"Household Care","ALL PURPOSE CLEANERS","All Purpose Cleaner Spray","170304"
"Household Care","ALL PURPOSE CLEANERS","All Purpose Cleaner Aerosol","170305"
"Household Care","ALL PURPOSE CLEANERS","All Purpose Cleaner Sheets/Wipes","170306"
"Household Care","ALL PURPOSE CLEANERS","Aerosol Bathroom Cleaner","170307"
"Household Care","ALL PURPOSE CLEANERS","Non-Aerosol Bathroom Cleaner","170308"
"Household Care","ALL PURPOSE CLEANERS","Bathroom Cleaner Sheets/Wipes","170309"
"Household Care","ALL PURPOSE CLEANERS","Oil Soap","170310"
"Household Care","ALL PURPOSE CLEANERS","Organic Cleaning Solutions","170311"
"Household Care","ALL PURPOSE CLEANERS","AntiBacterial Cleaners","170312"
"Household Care","ALL PURPOSE CLEANERS","Kitchen Cleaner","170313"
"Household Care","ALL PURPOSE CLEANERS","Liquid Cleaner Concentrate","170314"
"Household Care","ALL PURPOSE CLEANERS","All Other Bathroom Cleaner","170315"
"Household Care","ALL PURPOSE CLEANERS","All Other all purpose cleaners","170399"
"Household Care","*** HOUSEHOLD CLEANING COMPOUNDS & SPONGES ***","AMMONIA","170400"
"Household Care","AMMONIA","Clear Ammonia","170401"
"Household Care","AMMONIA","Sudsy/Cloudy Ammonia","170402"
"Household Care","AMMONIA","Lemon Ammonia","170403"
"Household Care","AMMONIA","Pine Ammonia","170404"
"Household Care","AMMONIA","All Other Ammonia","170499"
"Household Care","*** HOUSEHOLD CLEANING COMPOUNDS & SPONGES ***","WINDOW CLEANERS","170600"
"Household Care","WINDOW CLEANERS","Aerosol Window Cleaners","170601"
"Household Care","WINDOW CLEANERS","Liquid Window Cleaners","170602"
"Household Care","WINDOW CLEANERS","Glass Cleaning Wipes","170603"
"Household Care","WINDOW CLEANERS","Other Window Cleaners","170699"
"Household Care","*** HOUSEHOLD CLEANING COMPOUNDS & SPONGES ***","OVEN CLEANERS","170700"
"Household Care","OVEN CLEANERS","Aerosol Oven Cleaners","170701"
"Household Care","OVEN CLEANERS","Paste Oven Cleaners","170702"
"Household Care","OVEN CLEANERS","Non-Aerosol Oven Cleaners","170703"
"Household Care","OVEN CLEANERS","Pads Oven Cleaners","170704"
"Household Care","OVEN CLEANERS","All Other Oven Cleaners","170799"
"Household Care","*** HOUSEHOLD CLEANING COMPOUNDS & SPONGES ***","METAL POLISHES & CLEANERS","170800"
"Household Care","METAL POLISHES & CLEANERS","Silver Metal Polishes & Cleaners","170801"
"Household Care","METAL POLISHES & CLEANERS","Copper Metal Polishes & Cleaners","170802"
"Household Care","METAL POLISHES & CLEANERS","Aluminum/Stainless Steel/Chrome Metal Polish","170803"
"Household Care","METAL POLISHES & CLEANERS","Brass Metal Polishes & Cleaners","170804"
"Household Care","METAL POLISHES & CLEANERS","Brass/Copper Metal Polishes & Cleaners","170805"
"Household Care","METAL POLISHES & CLEANERS","All Other Metal Polishers & Cleaners","170899"
"Household Care","*** HOUSEHOLD CLEANING COMPOUNDS & SPONGES ***","BOWL CLEANERS","170900"
"Household Care","BOWL CLEANERS","Bowl Cleaners Regular","170901"
"Household Care","BOWL CLEANERS","Bowl Cleaners Automatic","170903"
"Household Care","BOWL CLEANERS","Tank Bowl Blocks","170904"
"Household Care","BOWL CLEANERS","Bowl Wipes","170905"
"Household Care","BOWL CLEANERS","Toilet Bowl Brush & Cleaner","170906"
"Household Care","BOWL CLEANERS","All Other bowl cleaners","170999"
"Household Care","*** HOUSEHOLD CLEANING COMPOUNDS & SPONGES ***","DRAIN CLEANERS","171000"
"Household Care","DRAIN CLEANERS","Drain Cleaners Granular/Powder","171001"
"Household Care","DRAIN CLEANERS","Drain Cleaners Liquid","171002"
"Household Care","DRAIN CLEANERS","Lye Drain Cleaners","171003"
"Household Care","DRAIN CLEANERS","Septicle Drain Cleaners","171004"
"Household Care","DRAIN CLEANERS","Garbage Disposal Products","171005"
"Household Care","DRAIN CLEANERS","All Other Drain Cleaners","171099"
"Household Care","*** HOUSEHOLD CLEANING COMPOUNDS & SPONGES ***","SPONGES","171100"
"Household Care","SPONGES","Sponges","171101"
"Household Care","SPONGES","All Other sponges","171199"
"Household Care","*** HOUSEHOLD CLEANING COMPOUNDS & SPONGES ***","MILDEW REMOVERS","171200"
"Household Care","MILDEW REMOVERS","Mildew Removers","171201"
"Household Care","MILDEW REMOVERS","All Other mildew removers","171299"
"Household Care","*** HOUSEHOLD CLEANING COMPOUNDS & SPONGES ***","MISCELLANEOUS CLEANING COMPOUNDS","179900"
